rank_test_f1,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_train_accuracy,std_train_accuracy,mean_train_f1,std_train_f1,mean_train_recall,std_train_recall,mean_train_precision,std_train_precision,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_test_precision,std_test_precision,rank_test_precision
23,0.12514863014221192,0.018042352001586024,0.015454339981079101,0.003727529886794198,"{'LR__C': 0.10312691587430771, 'LR__class_weight': 'balanced'}",0.867989798016286,0.0033780637462701457,0.6078093298498264,0.0069273424111171815,0.8962765957446809,0.003364125170391898,0.45983961629980313,0.007101772297730925,0.8659847855176519,0.010237927053394134,76,0.6003455596773102,0.02156408501303989,0.8808510638297872,0.03020227567357103,16,0.45570673491182767,0.02088408503874475,75
24,0.17876844406127929,0.006657432634091945,0.014270734786987305,0.0047830451365119715,"{'LR__C': 0.46885524106365944, 'LR__class_weight': 'balanced'}",0.8689305990211971,0.0035081765771079166,0.6098632231862595,0.007763320857234478,0.8976063829787234,0.005946989301861157,0.4618378112501832,0.007487898410284124,0.8661062184259702,0.010238577348540792,75,0.6001732255784413,0.02431961870207022,0.8797872340425531,0.03489621163161007,22,0.4556942119785278,0.021406027499370324,76
25,0.10952682495117187,0.008291054325662753,0.015492630004882813,0.003519682529684891,"{'LR__C': 0.04620394776520913, 'LR__class_weight': 'balanced'}",0.8667455759440207,0.003127622722767298,0.60520709954645,0.006429213830930842,0.8949468085106383,0.003467660853831198,0.4572097261637431,0.006518083796962499,0.8652568512328978,0.009412694181026282,77,0.5988608361867045,0.02133258038493391,0.8808510638297873,0.03709701228545254,14,0.45400005148673983,0.01900416001233882,77
26,0.08408083915710449,0.00840746564015009,0.014426612854003906,0.0037132229082667187,"{'LR__C': 0.040797821499010574, 'LR__class_weight': 'balanced'}",0.8664421042259078,0.0031830418439405626,0.6045935486266528,0.006575352835060125,0.8946808510638299,0.0037043585843574782,0.4565793074375848,0.006633371440435879,0.8646499814313758,0.009181778512754852,78,0.5980472578478937,0.020821626872925963,0.8819148936170214,0.037370570362234665,1,0.4527857009627091,0.018443089798262688,78
27,0.08624763488769531,0.011885104328824921,0.012545442581176758,0.003044731726741751,"{'LR__C': 0.03993834801940453, 'LR__class_weight': 'balanced'}",0.8663814154078227,0.0031859908474526234,0.6044143850745867,0.006512472441937099,0.8944148936170213,0.0036271759832409178,0.45644538734540163,0.006624865945142198,0.8644071156147394,0.009362734563341928,80,0.5976348388869328,0.0209015874814153,0.8819148936170214,0.037370570362234665,1,0.4523302540156623,0.018710764080744607,80
28,0.07685108184814453,0.005534371757076078,0.017597293853759764,0.00253228447609002,"{'LR__C': 0.030968128606742053, 'LR__class_weight': 'balanced'}",0.8659869104625819,0.00280242422001723,0.6033413356130697,0.005882620776657248,0.8930851063829788,0.003426622001788602,0.4555608927340808,0.005841811106215679,0.8645284748380403,0.00901673409781608,79,0.5974966042997671,0.020059708122310563,0.8808510638297873,0.04031339430105622,14,0.4525191959517441,0.017843514886386035,79
29,0.08026299476623536,0.010606793577826183,0.012220954895019532,0.004424559728541927,"{'LR__C': 0.024564895275377994, 'LR__class_weight': 'balanced'}",0.865744113748711,0.002788537234262225,0.6024098393938594,0.005631015875274436,0.8912234042553193,0.002578553115646979,0.45498558485286245,0.005775840906372019,0.8639216050365184,0.009233958538065336,81,0.5958757114652059,0.02027096730402289,0.8787234042553193,0.03885528163350995,27,0.4512037352322736,0.018227224232762813,81
29,0.07782373428344727,0.01681725004877068,0.013062715530395508,0.003931307043606581,"{'LR__C': 0.024827893822978307, 'LR__class_weight': 'balanced'}",0.8656530759169687,0.00289402268635639,0.6022504849684011,0.005816285522395133,0.8912234042553193,0.002578553115646979,0.45480525381418857,0.005985072463118728,0.8639216050365184,0.009233958538065336,81,0.5958757114652059,0.02027096730402289,0.8787234042553193,0.03885528163350995,27,0.4512037352322736,0.018227224232762813,81
31,0.06496143341064453,0.011427999437492582,0.0105438232421875,0.0020676332140366033,"{'LR__C': 0.016224915151039115, 'LR__class_weight': 'balanced'}",0.8644998824672168,0.0025478761841703536,0.5986810165359598,0.005300257189284631,0.8856382978723405,0.0031468509484572447,0.45218308678343444,0.005280597187280115,0.8633146615499789,0.009594199266954194,83,0.593675736096681,0.020822392767010783,0.874468085106383,0.0380012151053016,31,0.4498046336135779,0.018968802733791965,83
32,0.06616134643554687,0.0043304837986320455,0.01495189666748047,0.005739699177749789,"{'LR__C': 0.01368802302813704, 'LR__class_weight': 'balanced'}",0.8642874393716173,0.002815698528796832,0.597804352361184,0.0059378985014592696,0.8837765957446809,0.003817207471916821,0.4516699212438347,0.005842458336498166,0.8628290036017237,0.009319834946848293,84,0.5922761611765324,0.018690948282057095,0.8723404255319149,0.03414214156570468,32,0.44877090009873327,0.01817311628675478,84
